"retronasal olfaction ","Retronasal olfaction is the perception of odors emanating from the oral cavity during eating and drinking, as opposed to orthonasal olfaction, which occurs during sniffing.","Which refers to the perception of odors emanating from the oral cavity during eating and drinking?","Sensory olfaction","Hyperosmia","Gustatory olfaction"
"glomeruli ","A glomerulus is a capillary tuft that is involved in the first step of filtering blood to form urine.","Which is a capillary tuft that is involved in the first step of filtering blood to form urine?","Mesangium","Podocyte","Nephron"
"odorants ","An aroma compound, also known as odorant, aroma, fragrance or flavor, is a chemical compound that has a smell or odor. A chemical compound has a smell or odor when two conditions are met: the compound needs to be volatile, so it can be transported to the olfactory system in the upper part of the nose, and it needs to be in a sufficiently high concentration to be able to interact with one or more of the olfactory receptors.","Which is a chemical compound that has a smell or odor and is of a sufficiently high concentration to be able to interact with one or more of the olfactory receptors?","Dipolar compound","Ester","Spiro compound"
"Olfactory epithelium","The olfactory epithelium is a specialized epithelial tissue inside the nasal cavity that is involved in smell. In humans, it measures about 1 square centimetre and lies on the roof of the nasal cavity about 7cm above and behind the nostrils. The olfactory epithelium is the part of the olfactory system directly responsible for detecting odors.","Which is a specialized epithelial tissue inside the nasal cavity that is involved in smell?","Glomerulus","Anosmia","Dysosmia"
"Primary olfactory cortex","The Primary olfactory cortex is a portion of the cortex involved in olfaction.","Which is a portion of the cortex involved in olfaction?","Glomerulus","Anosmia","Dysosmia"
"bipolar neuron ","A bipolar cell is a type of neuron which has two extensions. Bipolar cells are specialized sensory neurons for the transmission of special senses. As such, they are part of the sensory pathways for smell, sight, taste, hearing and vestibular functions.","Which is a type of neuron which has two extensions?","Unipolar neuron","Command neuron","H1 neuron"
"Primary olfactory cortex","The Primary olfactory cortex is a portion of the cortex involved in olfaction.","Which is a portion of the cortex involved in olfaction?","Glomerulus","Anosmia","Dysosmia"
"gustation ","Taste is one of the traditional five senses. It refers to the ability to detect the flavor of substances such as food, certain minerals, and poisons, etc.","Which is one of the traditional five senses referring to the ability to detect the flavor of substances such as food, certain minerals, and poisons, etc.","Audition","Olfaction","Touch"
"tastant ","Any chemical that stimulates the sensory cells in a taste bud.","Which refers to any chemical that stimulates the sensory cells in a taste bud.","Astringent","Dysgeusia","Piquant"
"primary gustatory cortex ","The primary gustatory cortex is a brain structure responsible for the perception of taste. It consists of two substructures: the anterior insula on the insular lobe and the frontal operculum on the inferior frontal gyrus of the frontal lobe. Because of its composition the primary gustatory cortex is sometimes referred to in literature as the AI/FO(Anterior Insula/Frontal Operculum). By using extracellular unit recording techniques, scientists have elucidated that neurons in the AI/FO respond to sweetness, saltiness, bitterness, and sourness, and they code the intensity of the taste stimulus.","Which refers to a brain structure responsible for the perception of taste consisting of the anterior insula and the frontal operculum.","Medulla","Epiglottis","Entorhinal cortex"
"corpuscles ","Lamellar corpuscles, or Pacinian corpuscles, are one of the four major types of mechanoreceptor. They are nerve endings in the skin, responsible for sensitivity to vibration and pressure.","Which are one of the four major types of mechanoreceptor responsible for sensitivity to vibration and pressure?","Meissner's corpuscle","Merkel cells","Golgi-Mazzoni corpuscle"
"somatosensation ","The somatosensory system is a diverse sensory system composed of the receptors and processing centres to produce the sensory modalities such as touch, temperature, proprioception, and nociception. The sensory receptors cover the skin and epithelia, skeletal muscles, bones and joints, internal organs, and the cardiovascular system. While touch is considered one of the five traditional senses, the impression of touch is formed from several modalities. In medicine, the colloquial term touch is usually replaced with somatic senses to better reflect the variety of mechanisms involved.","Which is a diverse sensory system composed of the receptors and processing centres to produce the sensory modalities such as touch, temperature, proprioception, and nociception?","Olfactory system","Tactile system","Auditory system"
"Ruffmi corpuscles","The Ruffini corpuscle is a class of slowly adapting mechanoreceptor thought to exist only in the glabrous dermis and subcutaneous tissue of humans. It is named after Angelo Ruffini.","Which is a class of slowly adapting mechanoreceptor thought to exist only in the glabrous dermis and subcutaneous tissue of humans.","Bulboid corpuscle","Tactile corpuscle","Lamellar corpuscle"
"nociceptors ","A nociceptor is a sensory receptor that responds to potentially damaging stimuli by sending nerve signals to the spinal cord and brain. This process, called nociception, usually causes the perception of pain.","Which is a sensory receptor that responds to potentially damaging stimuli by sending nerve signals to the spinal cord and brain?","Thermoreceptor","Mechanoreceptor","Interoceptor"
"Merkelâ€™s corpuscles ","Merkel nerve endings are mechanoreceptors found in the skin and mucosa of vertebrates that provide touch information to the brain. The information they provide are those regarding pressure and texture. Each ending consists of a Merkel cell in close apposition with an enlarged nerve terminal. This is sometimes referred to as a Merkel cell–neurite complex, or a Merkel disk receptor. A single afferent nerve fibre branches to innervate up to 90 such endings. They are classified as slowly adapting type I mechanoreceptors.","Which are mechanoreceptors found in the skin and mucosa of vertebrates that provide touch information to the brain?","Pacinian corpuscles","Meissner's corpuscles","Ruffini nerve endings"
"Meissnerâ€™s corpuscles ","Meissner's corpuscles are a type of mechanoreceptor. They are a type of nerve ending in the skin that is responsible for sensitivity to light touch. In particular, they have highest sensitivity (lowest threshold) when sensing vibrations lower than 50 Hertz.","Which is a type of mechanoreceptor that is responsible for sensitivity to light touch?","Lamellar corpuscle","Pacinian corpuscles","Merkel nerve endings"
"sensory homunculus ","A cortical homunculus is a pictorial representation of the anatomical divisions of the primary motor cortex and the primary somatosensory cortex, i.e., the portion of the human brain directly responsible for the movement and exchange of sense and motor information of the rest of the body.","Which is a pictorial representation of the anatomical divisions of the primary motor cortex and the primary somatosensory cortex, i.e., the portion of the human brain directly responsible for the movement and exchange of sense and motor information  of the rest of the body?","Arcuate fasciculus","Subthalamic fasciculus","Lenticular fasciculus"
"Proprioception","Proprioception is the sense of the relative position of neighbouring parts of the body and strength of effort being employed in movement. It is distinguished from exteroception, by which we perceive the outside world, and interoception, by which we perceive pain, hunger, etc., and the movement of internal organs.","Which is the sense of the relative position of neighbouring parts of the body and strength of effort being employed in movement?","Body transfer illusion","Equilibrioception","Electroreception"
"secondary somatosenory cortex ","The human secondary somatosensory cortex (S2) is a region of cerebral cortex lying mostly on the parietal operculum. Functional neuroimaging studies have found S2 activation in response to light touch, pain, visceral sensation, and tactile attention.","which is a region of the cerebral cortex lying mostly on the parietal operculum active in response to light touch, pain, visceral sensation, and tactile attention.","Insular cortex","Hippocampus","Premotor cortex"
"somatotopic ","Somatotopic arrangement is the maintenance of spatial organization within the central nervous system. For example, sensory information maintains its structure (i.e. sensory information on the hand remains next to sensory information on the arm) throughout the spinal cord and brain. Densely innervated areas of the body occupy large regions of the cortex.","Which refers to the maintenance of spatial organization within the central nervous system?","Topographic arrangement","Neural arrangement","Pallidothalamic ordering"
"photoreceptors ","A photoreceptor cell is a specialized type of neuron found in the eye's retina that is capable of phototransduction. The great biological importance of photoreceptors is that they convert light into signals that can stimulate biological processes. To be more specific, photoreceptor proteins in the cell absorb photons, triggering a change in the cell's membrane potential.","Which is a specialized type of neuron found in the eye's retina that is capable of phototransduction?","Nerotransmitters","G protein-coupled receptor","Amacrine cell"
"neural pathways ","A neural pathway, neural tract, or neural face, connects one part of the nervous system with another and usually consists of bundles of elongated, myelin-insulated neurons, known collectively as white matter. Neural pathways serve to connect relatively distant areas of the brain or nervous system, compared to the local communication of grey matter.","Which connects one part of the nervous system with another and usually consists of bundles of elongated, myelin-insulated neurons, known collectively as white matter?","Lateral corticospinal tract","Spinal cord","Brainstem"
"cones ","Cone cells, or cones, are photoreceptor cells in the retina of the eye that are responsible for colour vision; they function best in relatively bright light, as opposed to rod cells that work better in dim light. Cone cells are densely packed in the fovea, but gradually become sparser towards the periphery of the retina.","Which are photoreceptor cells in the retina of the eye that are responsible for colour vision; they function best in relatively bright light, as opposed to rod cells that work better in dim light?","Rod cell","Phagocytic cells","Photosensitive ganglion cell"
"Vision","Visual perception is the ability to interpret information and surroundings from the effects of visible light reaching the eye. The resulting perception is also known as eyesight, sight, or vision. The various physiological components involved in vision are referred to collectively as the visual system, and are the focus of much research in psychology, cognitive science, neuroscience, and molecular biology.","Which is the ability to interpret information and surroundings from the effects of visible light reaching the eye?","Auditory perception","Tactile perception","Somatosensory perception"
"rods ","Rod cells, or rods, are photoreceptor cells in the retina of the eye that can function in less intense light than can the other type of visual photoreceptor, cone cells. Named for their cylindrical shape, rods are concentrated at the outer edges of the retina and are used in peripheral vision. On average, there are approximately 120 million rod cells in the human retina. More sensitive than cone cells, rod cells are almost entirely responsible for night vision.","Which are photoreceptor cells in the retina of the eye that can function in less intense light than can the other type of visual photoreceptor, cone cells?","Cone cell","Phagocytic cells","Photosensitive ganglion cell"
"retina ","The vertebrate retina is a light-sensitive tissue lining the inner surface of the eye. The optics of the eye create an image of the visual world on the retina, which serves much the same function as the film in a camera. Light striking the retina initiates a cascade of chemical and electrical events that ultimately trigger nerve impulses. These are sent to various visual centers of the brain through the fibers of the optic nerve.","Which is a light-sensitive tissue lining the inner surface of the eye?","Foveola","Choroid","Canthus"
"remote sensing ","Remote sensing is the acquisition of information about an object or phenomenon, without making physical contact with the object. In modern usage, the term generally refers to the use of aerial sensor technologies to detect and classify objects on Earth by means of propagated signals.","Which is the acquisition of information about an object or phenomenon, without making physical contact with the object?","Deimos Imaging","Physical computing","Hyperspectral imaging"
"fovea ","The fovea centralis, also generally known as the fovea, is a part of the eye, located in the center of the macula region of the retina. The fovea is responsible for sharp central vision, which is necessary in humans for reading, watching television or movies, driving, and any activity where visual detail is of primary importance. The fovea is surrounded by the parafovea belt, and the perifovea outer region. The parafovea is the intermediate belt, where the ganglion cell layer is composed of more than five rows of cells, as well as the highest density of cones; the perifovea is the outermost region where the ganglion cell layer contains two to four rows of cells, and is where visual acuity is below the optimum. The perifovea contains an even more diminished density of cones, having 12 per 100 micrometres versus 50 per 100 micrometres in the most central fovea. This, in turn, is surrounded by a larger peripheral area that delivers highly compressed information of low resolution. Approximately 50% of the nerve fibers in the optic nerve carry information from the fovea, while the other 50% carry information from the rest of the retina. The parafovea extends to a distance of 1¼ mm from the central fovea, and the perifovea is found 2¾ mm away from the fovea centralis.","Which is a part of the eye located in the center of the macula region of the retina and responsible for sharp central vision?","Pars palpebralis","Corneal endothelium","Sulcus subtarsalis"
"Optic nerve","The optic nerve, also called cranial nerve 2, transmits visual information from the retina to the brain. Derived from the embryonic retinal ganglion cell, a diverticulum located in the diencephalon, the optic nerve doesn't regenerate after transection.","Which transmits visual information from the retina to the brain and is derived from the embryonic retinal ganglion cell?","Hypoglossal nerve","Photoreceptor cells","Abducens nerve"
"Optic chiasm","The optic chiasm or optic chiasma is the part of the brain where the optic nerves partially cross. The optic chiasm is located at the bottom of the brain immediately below the hypothalamus.","Which is the part of the brain where the optic nerves partially cross located at the bottom of the brain immediately below the hypothalamus?","Choroid","Retina","Metathalamus"
"Superior colliculus","The optic tectum, or simply tectum, is a paired structure that forms a major component of the vertebrate midbrain. In mammals this structure is more commonly called the superior colliculus, but, even in mammals, the adjective tectal is commonly used. The tectum is a layered structure, with a number of layers that vary by species. The superficial layers are sensory-related, and receive input from the eyes as well as other sensory systems. The deep layers are motor-related, capable of activating eye movements as well as other responses. There are also intermediate layers, with multi-sensory cells and motor properties.","Which is a paired structure that forms a major component of the vertebrate midbrain and receives input from the eyes as well as other sensory systems?","Metencephalon","Lenticular fasciculus","Inferior colliculus"
"extrastriate visual cortex ","The extrastriate cortex is the region of the occipital cortex of the mammalian brain located next to the striate cortex (which is also known as the primary visual cortex). In terms of Brodmann areas, the extrastriate cortex comprises Brodmann area 18 and Brodmann area 19, while the striate cortex comprises Brodmann area 17.","Which is the region of the occipital cortex of the mammalian brain located next to the striate cortex (which is also known as the primary visual cortex)?","Archicortex","Dorsolateral prefrontal cortex","Barrel cortex"
"area MT ","Visual area V5, also known as visual area MT (middle temporal), is a region of extrastriate visual cortex that is thought to play a major role in the perception of motion, the integration of local motion signals into global percepts and the guidance of some eye movements.","Which is a region of the extrastriate visual cortex that is thought to play a major role in the perception of motion, the integration of local motion signals into global percepts and the guidance of some eye movements?","Dorsal V3","Preoptic area","Medial superior temporal area"
"Vernon Mountcastle ","Vernon Benjamin Mountcastle is a former neuroscientist from the Johns Hopkins University. He discovered and characterized the columnar organization of the cerebral cortex in the 1950s. This discovery was a turning point in investigations of the cerebral cortex, as nearly all cortical studies of sensory function after Mountcastle's 1957 paper on the somatosensory cortex used columnar organization as their basis.","Which is a former neuroscientist from the Johns Hopkins University who discovered and characterized the columnar organization of the cerebral cortex in the 1950s?","Seymour S. Kety","James Edward Keeler","Norman R. Pace"
"Steve Kuffler ","Stephen William Kuffler was a pre-eminent Hungarian-American neurophysiologist. Often, he's been referred to as the ""Father of Modern Neuroscience"". He founded the Harvard Neurobiology department in 1966, and made numerous seminal contributions to our understanding of vision, neural coding, and the neural implementation of behavior. He is known for his research on neuromuscular junctions in frogs, presynaptic inhibition, and the neurotransmitter GABA. In 1972, he was awarded the Louisa Gross Horwitz Prize from Columbia University.","Which was a pre-eminent Hungarian-American neurophysiologist often referred to as the ""Father of Modern Neuroscience"", making numerous seminal contributions to our understanding of vision, neural coding, and the neural implementation of behavior?","Vernon Benjamin Mountcastle","Norman R. Pace","Seymour S. Kety"
"David Hubel ","David Hunter Hubel is the John Franklin Enders Professor of Neurobiology, Emeritus, at Harvard Medical School. He was co-recipient with Torsten Wiesel of the 1981 Nobel Prize in Physiology or Medicine, for their discoveries concerning information processing in the visual system; the prize was shared with Roger W. Sperry for his independent research on the cerebral hemispheres. In 1978, Hubel and Wiesel were awarded the Louisa Gross Horwitz Prize from Columbia University.","Which was co-recipient with Torsten Wiesel of the 1981 Nobel Prize in Physiology or Medicine for their discoveries concerning information processing in the visual system?","Steve Kuffler","Vernon Benjamin Mountcastle","Sten Grillner"
"Torsten Wiesel","Torsten Nils Wiesel was a Swedish co-recipient with David H. Hubel of the 1981 Nobel Prize in Physiology or Medicine, for their discoveries concerning information processing in the visual system; the prize was shared with Roger W. Sperry for his independent research on the cerebral hemispheres.","Which was a Swedish co-recipient with David H. Hubel of the 1981 Nobel Prize in Physiology or Medicine for their discoveries concerning information processing in the visual system?","Sten Grillner","Albrecht Kossel","Vernon Benjamin Mountcastle"
"simple cells ","A simple cell in the primary visual cortex is a cell that responds primarily to oriented edges and gratings (bars of particular orientations). These cells were discovered by Torsten Wiesel and David Hubel in the late 1950s.","Which structure, located in the primary visual cortex, is a cell that responds primarily to oriented edges and gratings (bars of particular orientations). These cells were discovered by Torsten Wiesel and David Hubel in the late 1950s?","Complex cells","End-stopped cells","Bar and grating cells"
"blobs ","Blobs are sections of the visual cortex where groups of neurons that are sensitive to color assemble in cylindrical shapes. They were first identified in 1979 by Margaret Wong-Riley when she used a cytochrome oxidase stain, from which they get their name. These areas receive input from parvocellular cells in layer 4C? of the primary visual cortex and output to the thin stripes of area V2. Interblobs are areas between blobs which receive the same input, but are sensitive to orientation instead of color. They output to the pale stripes of area V2.","Which are sections of the visual cortex where groups of neurons that are sensitive to color assemble in cylindrical shapes?","Interblobs","Limen insulae","Claustrums"
"area V ","Brodmann area 5 is one of Brodmann's cytologically defined regions of the brain. It is involved in somatosensory processing and association.","Which is a region of the brain involved in somatosensory processing and association?","Brodmann area 4","Myelencephalon","Diencephalon"
"prestriate cortex ","Visual area V2, also called prestriate cortex, is the second major area in the visual cortex, and the first region within the visual association area. It receives strong feedforward connections from V1 (direct and via the pulvinar) and sends strong connections to V3, V4, and V5. It also sends strong feedback connections to V1.","Which is the second major area in the visual cortex, and the first region within the visual association area which receives strong feedforward connections from V1 (direct and via the pulvinar) and sends strong connections to V3, V4, and V5?","Visual area V3","Brodmann area","Cingulate cortex"
"signal ","In physiology, a signal or biopotential is an electric quantity, caused by chemical reactions of charged ions. Another use of the term lies in describing the transfer of information between and within cells, as in signal transduction.","Which is an electric quantity, caused by chemical reactions of charged ions?","Action potential","Electroneurogram","Receptor potential"
"visual illusions ","An optical illusion is characterized by visually perceived images that differ from objective reality. The information gathered by the eye is processed in the brain to give a perception that does not tally with a physical measurement of the stimulus source. There are three main types: literal optical illusions that create images that are different from the objects that make them, physiological ones that are the effects on the eyes and brain of excessive stimulation of a specific type, and cognitive illusions, the result of unconscious inferences.","Which is characterized by visually perceived images that differ from objective reality?","Wundt illusion","Helmholtz–Kohlrausch effect","Chubb illusion"
"Illusion","An illusion is a distortion of the senses, revealing how the brain normally organizes and interprets sensory stimulation. While illusions distort reality, they are generally shared by most people. Illusions may occur with more of the human senses than vision, but visual illusions, optical illusions, are the most well known and understood. The emphasis on visual illusions occurs because vision often dominates the other senses. For example, individuals watching a ventriloquist will perceive the voice is coming from the dummy since they are able to see the dummy mouth the words. Some illusions are based on general assumptions the brain makes during perception. These assumptions are made using organizational principles, like Gestalt, an individual's ability of depth perception and motion perception, and perceptual constancy. Other illusions occur because of biological sensory structures within the human body or conditions outside of the body within one’s physical environment.","Which is a distortion of the senses, revealing how the brain normally organizes and interprets sensory stimulation?","Proprioception","Equilibrioception","Perception"
"achromatopsia ","Achromatopsia is a medical syndrome that exhibits symptoms relating to at least five separate individual disorders. Although the term may refer to acquired disorders such as color agnosia and cerebral achromatopsia, it typically refers to an autosomal recessive congenital color vision disorder, the inability to perceive color and to achieve satisfactory visual acuity at high light levels. The syndrome is also present in an incomplete form which is more properly defined as dyschromatopsia. The only estimate of its relative occurrence of 1:33,000 in the general population dates from the 1960s or earlier.","Which is a medical syndrome that refers to an autosomal recessive congenital color vision disorder involving the inability to perceive color and to achieve satisfactory visual acuity at high light levels?","Anopsia","Akinetopsia","Amblyopia"
"dichromats ","Dichromacy is the state of having two types of functioning color receptors, called cone cells, in the eyes. Organisms with dichromacy are called dichromats. Dichromats can match any color they see with a mixture of no more than two pure spectral lights. By comparison, trichromats require three pure spectral lights to match all colors that they can perceive.","Which refers to the state of having two types of functioning color receptors, called cone cells, in the eyes?","Protanopia","Trichromacy","Tetrachromacy"
"anomalous trichromats ","Those with protanomaly, deuteranomaly, or tritanomaly are trichromats, but the color matches they make differ from the normal. They are called anomalous trichromats. In order to match a given spectral yellow light, protanomalous observers need more red light in a red/green mixture than a normal observer, and deuteranomalous observers need more green. From a practical standpoint though, many protanomalous and deuteranomalous people have very little difficulty carrying out tasks that require normal color vision. Some may not even be aware that their color perception is in any way different from normal.","Which refers to those with protanomaly, deuteranomaly, or tritanomaly who, in order to match a given spectral yellow light, need more red light in a red/green mixture than a normal observer?","Dichromats","Anomalous monochromats","Tetrachromats"
"study ","In epidemiology and statistics, an observational study draws inferences about the possible effect of a treatment on subjects, where the assignment of subjects into a treated group versus a control group is outside the control of the investigator. This is in contrast with controlled experiments, such as randomized controlled trials, where each subject is randomly assigned to a treated group or a control group before the start of the treatment.","Which draws inferences about the possible effect of a treatment on subjects, where the assignment of subjects into a treated group versus a control group is outside the control of the investigator?","Natural experiment","Cross-sectional study","Quasi-experiment"
"visual agnosia case ","Visual agnosia is the inability of the brain to make sense of or make use of some part of otherwise normal visual stimulus and is typified by the inability to recognize familiar objects or faces. This is distinct from blindness, which is a lack of sensory input to the brain due to damage to the eye, optic nerve, or primary visual systems in the brain such as the optic radiations or primary visual cortex. Visual agnosia is often due to damage, such as stroke, in the posterior occipital and/or temporal lobe(s) in the brain.","Which refers to the inability of the brain to make sense of or make use of some part of otherwise normal visual stimulus and is typified by the inability to recognize familiar objects or faces?","Achromatopsia","Prosopagnosia","Klüver-Bucy syndrome"
"scotomas ","A scotoma is an area of partial alteration in one's field of vision consisting of a partially diminished or entirely degenerated visual acuity which is surrounded by a field of normal - or relatively well-preserved - vision.","Which is an area of partial alteration in one's field of vision consisting of a partially diminished or entirely degenerated visual acuity which is surrounded by a field of normal - or relatively well-preserved - vision?","Quadrantanopia","Bitemporal hemianopsia","Diplopia"
"hemianopia ","Hemianopia, or hemianopsia, is a type of anopsia where the decreased vision or blindness takes place in half the visual field of one or both eyes. In most cases, the visual field loss respects the vertical midline. The most common causes of this damage include stroke, brain tumor and trauma.","Which is a type of anopsia where the decreased vision or blindness takes place in half the visual field of one or both eyes?","Stereoblindness","Binasal hemianopsia","Superior hemianopia"
"supranuclear palsy ","Progressive supranuclear palsy is a rare degenerative disease involving the gradual deterioration and death of specific areas of the brain.","Which is a rare degenerative disease involving the gradual deterioration and death of specific areas of the brain?","Frontotemporal lobar degeneration","Neuroleptic malignant syndrome","Hemianopsia"
"parietal cortex ","The parietal lobe is a part of the brain positioned above the occipital lobe and behind the frontal lobe. The parietal lobe integrates sensory information from different modalities, particularly determining spatial sense and navigation. For example, it comprises somatosensory cortex and the dorsal stream of the visual system. This enables regions of the parietal cortex to map objects perceived visually into body coordinate positions.","Which is a part of the brain positioned above  the occipital lobe and behind  the frontal lobe that integrates sensory information from different modalities, particularly determining spatial sense and navigation?","Posterior parietal cortex","Calcarine fissure","Lateral sulcus"
"Form perception","Form perception is the ability of the human mind and senses to perceive the shapes of physical objects and outlines observed in the environment. It is a complex mental process studied in neurology.","Which is the ability of the human mind and senses to perceive the shapes of physical objects and outlines observed in the environment?","Volition","Apperception","Destratification"
"Lawrence Weiskrantz ","Lawrence Weiskrantz is a British psychologist who discovered the phenomenon of blindsight, which is the voluntary visually evoked response to a stimulus presented within a scotoma.","Which is a British psychologist, who discovered the phenomenon of blindsight, which is the voluntary visually evoked response to a stimulus presented within a scotoma?","Colin Blakemore","Peter Medawar","Vernon Benjamin Mountcastle"
"Cortical blindness","Cortical blindness is the total or partial loss of vision in a normal-appearing eye caused by damage to the visual area in the brain's occipital cortex. This damage is most often caused by loss of blood flow to the occipital cortex from either unilateral or bilateral posterior cerebral artery blockage. A patient with cortical blindness often has little or no insight that they have lost vision, a phenomenon known as Anton's Syndrome or Anton-Babinski syndrome.","Which is the total or partial loss of vision in a normal-appearing eye caused by damage to the visual area in the brain's occipital cortex?","Stereoblindness","Emmetropia","Pseudostrabismus"
"Blindsight","Blindsight is a phenomenon in which people who are perceptually blind in a certain area of their visual field demonstrate some response to visual stimuli. In Type 1 blindsight subjects have no awareness whatsoever of any stimuli, but yet are able to predict, at levels significantly above chance, aspects of a visual stimulus, such as location, or type of movement, often in a forced-response or guessing situation. Type 2 blindsight is when subjects have some awareness of, for example, movement within the blind area, but no visual percept. This may be caused by, for example, the person being aware of their eyes' tracking motion which will function normally. Blindsight is caused by injury to the part of the brain responsible for vision. Evidence for it can be indirectly observed in children as young as two months, although it is difficult to determine the type in a person who is not old enough to answer questions.","Which is a phenomenon in which people who are perceptually blind in a certain area of their visual field demonstrate some response to visual stimuli?","Xanthopsia","Autoscopy","Filling-in"
